id,nickname,title,description,tags,shared_date,is_published,original_letter_id,shared_by_id,feature_photo,view_count
278,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have stayed resilient and strong in the face of adversity. Keep moving forward.",,2024-11-20 18:17:16.084611,0,85,1084,,71
279,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to nurture your creative side and pursued artistic endeavors.",,2024-11-20 18:17:16.096669,0,86,1085,,33
280,anonymous,Letters from 2024-11-18,"Future me, I hope you have taken the time to explore new interests and have not been afraid to try new things.",,2024-11-20 18:17:16.104989,0,87,1086,,52
281,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have stayed patient and kind, even when things don't go as planned.",,2024-11-20 18:17:16.109738,0,88,1087,,29
282,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have found true love and are surrounded by people who genuinely care for you.",,2024-11-20 18:17:16.116522,0,89,1088,,61
283,anonymous,Letters from 2024-11-18,"By now, you should have made significant strides in your personal growth. Keep evolving and improving.",,2024-11-20 18:17:16.124812,0,90,1089,,56
284,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have continued to practice gratitude and appreciate the small joys in life.",,2024-11-20 18:17:16.132454,0,91,1090,,8
285,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have stayed focused and determined, even when faced with obstacles.",,2024-11-20 18:17:16.139977,0,92,1091,,66
286,anonymous,Letters from 2024-11-18,"Future me, I hope you have found fulfillment in your career and are proud of the work you do.",,2024-11-20 18:17:16.146004,0,93,1092,,49
287,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have learned to forgive and let go of past grievances. Focus on the present.",,2024-11-20 18:17:16.155837,0,94,1093,,59
288,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have stayed adventurous and never stopped exploring the world around you.",,2024-11-20 18:17:16.162953,0,95,1094,,31
289,anonymous,Letters from 2024-11-18,"By now, you should have a wealth of knowledge and experience. Share your wisdom with those who need it.",,2024-11-20 18:17:16.166558,0,96,1095,,53
290,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have stayed grounded and never lost sight of what truly matters to you.",,2024-11-20 18:17:16.178573,0,97,1096,,15
291,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to be compassionate and empathetic towards others.",,2024-11-20 18:17:16.184789,0,98,1097,,47
292,anonymous,Letters from 2024-11-18,"Future me, I hope you have taken the time to reflect on your journey and appreciate how far you've come.",,2024-11-20 18:17:16.193357,0,99,1098,,29
293,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have stayed resilient and never gave up, no matter how tough things got.",,2024-11-20 18:17:16.200082,0,100,1099,,12
294,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have achieved your dreams and are living the life you always wanted.",,2024-11-20 18:17:16.209981,0,101,1100,,18
295,anonymous,Letters from 2024-11-18,"Future me, I hope you have continued to be curious and seek out new experiences and knowledge.",,2024-11-20 18:17:16.216389,0,102,1101,,44
296,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have maintained your integrity and have always stood up for what you believe in.",,2024-11-20 18:17:16.224143,0,103,1102,,58
297,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to stay positive and have always looked on the bright side of things.",,2024-11-20 18:17:16.229176,0,104,1103,,41
298,anonymous,Letters from 2024-11-18,"By now, you should have found your true purpose and are living a life that is meaningful to you.",,2024-11-20 18:17:16.239076,0,105,1104,,71
299,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have remained humble and kind, no matter how much you have achieved.",,2024-11-20 18:17:16.246266,0,106,1105,,34
300,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to stay focused on your goals and have never lost sight of your dreams.",,2024-11-20 18:17:16.249856,0,107,1106,,74
301,anonymous,Letters from 2024-11-18,"Future me, I hope you have learned to let go of the past and embrace the present with open arms.",,2024-11-20 18:17:16.260797,0,108,1107,,28
302,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have stayed true to your values and have not compromised on what is important to you.",,2024-11-20 18:17:16.266639,0,109,1108,,30
303,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have continued to challenge yourself and have not settled for mediocrity.",,2024-11-20 18:17:16.275322,0,110,1109,,47
304,anonymous,life that you are proud of,"By now, you should have built a life that you are proud of. Keep striving for excellence in everything you do.",,2024-11-20 18:17:16.280896,1,111,1110,public_letters/photos/0-02-03-f93fa5207cb326724cb32e21a37b52077071d70832765f2fa3694a6d8_1M4dXHV.webp,19
305,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have continued to be a source of inspiration and support for those around you.",,2024-11-20 18:17:16.288656,0,112,1111,,38
306,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have learned to appreciate the journey and not just focus on the destination.",,2024-11-20 18:17:16.293669,0,113,1112,,36
307,anonymous,Letters from 2024-11-18,"Future me, I hope you have continued to take risks and push yourself beyond your comfort zone.",,2024-11-20 18:17:16.300083,0,114,1113,,24
308,anonymous,stayed positive and optimistic,"Dear future self, I hope you have stayed positive and optimistic, even when faced with challenges and setbacks.",positive,2024-11-20 18:17:16.308052,1,115,1114,public_letters/photos/0-02-03-0a03a62737332a1d15a523ea48340f3d2c964151f5b5428e6ae5ff3b5c_j5NHgWW.jpg,73
309,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have continued to pursue your passions and have not let fear hold you back.",,2024-11-20 18:17:16.313064,0,116,1115,,63
310,anonymous,Letters from 2024-11-18,"By now, you should have learned to appreciate the little things in life and find joy in the simple moments.",,2024-11-20 18:17:16.321257,0,117,1116,,10
311,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have stayed true to yourself and have not compromised your values for anyone.",,2024-11-20 18:17:16.326613,0,118,1117,,68
312,anonymous,Keep pushing your boundaries.,"Hey future self, I hope you have continued to grow and evolve as a person. Keep pushing your boundaries.",,2024-11-20 18:17:16.333298,1,119,1118,public_letters/photos/0-02-03-000e52f01066638b3fadc2cd7e210c01d6e43dc919a8f1f20c8bbadd4e_Y8ZhA1J.jpg,33
313,anonymous,Letters from 2024-11-18,"Future me, I hope you have taken the time to appreciate the beauty in everyday life. Slow down and enjoy the moment.",,2024-11-20 18:17:16.338394,0,120,1119,,41
314,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have continued to be generous and give back to your community.",,2024-11-20 18:17:16.344850,0,121,1120,,36
315,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have remained optimistic and positive, even when faced with challenges.",,2024-11-20 18:17:16.350754,0,122,1121,,45
316,anonymous,Letters from 2024-11-18,"By now, you should have a wealth of experiences and stories to tell. Share your journey with others.",,2024-11-20 18:17:16.358754,0,123,1122,,7
317,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have found true happiness and contentment in whatever you are doing.",,2024-11-20 18:17:16.364225,0,124,1123,,39
318,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have surrounded yourself with positive and inspiring people who lift you up.",,2024-11-20 18:17:16.370700,0,125,1124,,72
319,anonymous,Letters from 2024-11-18,"Future me, I hope you have continued to pursue your passions and never settled for less than what you deserve.",,2024-11-20 18:17:16.376710,0,126,1125,,43
320,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have stayed curious and always sought to learn more about the world around you.",,2024-11-20 18:17:16.381043,0,127,1126,,54
321,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have continued to grow and evolve as a person. Keep pushing your boundaries.",,2024-11-20 18:17:16.388255,0,128,1127,,10
322,anonymous,Letters from 2024-11-18,"By now, you should have achieved some of your biggest dreams. Don't stop there, keep aiming higher.",,2024-11-20 18:17:16.394270,0,129,1128,,57
323,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have maintained your sense of humor and continue to find joy in the little things.",,2024-11-20 18:17:16.401750,0,130,1129,,70
324,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have stayed true to yourself and have not let others' opinions sway you.",,2024-11-20 18:17:16.406568,0,131,1130,,31
325,anonymous,Letters from 2024-11-18,"Future me, I hope you have found peace and tranquility in your life. Take time to relax and recharge.",,2024-11-20 18:17:16.412302,0,132,1131,,51
326,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have continued to be a good friend and have supported those around you.",,2024-11-20 18:17:16.419470,0,133,1132,,21
327,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have achieved the work-life balance you always wanted. Take care of yourself.",,2024-11-20 18:17:16.425293,0,134,1133,,19
328,anonymous,Letters from 2024-11-18,"By now, you should have learned to let go of what doesn't serve you and embraced what truly makes you happy.",,2024-11-20 18:17:16.433271,0,135,1134,,28
329,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have stayed resilient and strong in the face of adversity. Keep moving forward.",,2024-11-20 18:17:16.441355,0,136,1135,,22
330,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to nurture your creative side and pursued artistic endeavors.",,2024-11-20 18:17:16.446377,0,137,1136,,18
331,anonymous,Letters from 2024-11-18,"Future me, I hope you have taken the time to explore new interests and have not been afraid to try new things.",,2024-11-20 18:17:16.456559,0,138,1137,,38
332,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have stayed patient and kind, even when things don't go as planned.",,2024-11-20 18:17:16.463418,0,139,1138,,54
333,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have found true love and are surrounded by people who genuinely care for you.",,2024-11-20 18:17:16.471836,0,140,1139,,57
334,anonymous,Letters from 2024-11-18,"By now, you should have made significant strides in your personal growth. Keep evolving and improving.",,2024-11-20 18:17:16.476853,0,141,1140,,5
335,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have continued to practice gratitude and appreciate the small joys in life.",,2024-11-20 18:17:16.487510,0,142,1141,,21
336,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have stayed focused and determined, even when faced with obstacles.",,2024-11-20 18:17:16.494912,0,143,1142,,7
337,anonymous,Letters from 2024-11-18,"Future me, I hope you have found fulfillment in your career and are proud of the work you do.",,2024-11-20 18:17:16.503393,0,144,1143,,66
338,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have learned to forgive and let go of past grievances. Focus on the present.",,2024-11-20 18:17:16.509414,0,145,1144,,58
339,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have stayed adventurous and never stopped exploring the world around you.",,2024-11-20 18:17:16.516494,0,146,1145,,44
340,anonymous,Letters from 2024-11-18,"By now, you should have a wealth of knowledge and experience. Share your wisdom with those who need it.",,2024-11-20 18:17:16.521430,0,147,1146,,52
341,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have stayed grounded and never lost sight of what truly matters to you.",,2024-11-20 18:17:16.530891,0,148,1147,,36
342,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have continued to be compassionate and empathetic towards others.",,2024-11-20 18:17:16.533273,0,149,1148,,59
343,anonymous,Letters from 2024-11-18,"Future me, I hope you have taken the time to reflect on your journey and appreciate how far you've come.",,2024-11-20 18:17:16.545109,0,150,1149,,69
344,anonymous,Letters from 2024-11-18,"Dear future me, I hope you have found the strength to overcome your fears and have embraced new challenges. I believe in you and your potential.",,2024-11-20 18:17:16.549923,0,151,1151,,63
345,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have maintained your passion for learning and have not let setbacks deter you from your goals. Keep pushing forward.",,2024-11-20 18:17:16.558195,0,152,1152,,52
346,anonymous,Letters from 2024-11-18,"Future me, I hope you have found a balance between work and play. Don't forget to take care of your mental and physical health.",,2024-11-20 18:17:16.564235,0,153,1153,,37
347,user1154,Letters from 2024-11-18,"Dear future self, I hope you have continued to grow and evolve as a person. Remember to always be kind to yourself and others.",,2024-11-20 18:17:16.566528,0,154,1154,,65
348,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have found joy and fulfillment in your career. Keep striving for excellence and never settle for mediocrity.",,2024-11-20 18:17:16.605442,0,155,1155,,54
349,user1156,Letters from 2024-11-18,"Future me, I hope you have learned to let go of the past and live in the present. Embrace each moment and make the most of it.",,2024-11-20 18:17:16.616610,0,156,1156,,9
350,user1157,Letters from 2024-11-18,"Dear future self, I hope you have stayed true to your values and have not compromised on what is important to you. Stay strong and keep moving forward.",,2024-11-20 18:17:16.633459,0,157,1157,,56
351,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have continued to pursue your passions and have not let fear hold you back. Keep pushing your boundaries.",,2024-11-20 18:17:16.633459,0,158,1158,,39
352,user1159,Letters from 2024-11-18,"Future me, I hope you have taken the time to appreciate the beauty in everyday life. Slow down and enjoy the moment.",,2024-11-20 18:17:16.650184,0,159,1159,,8
353,user1160,Letters from 2024-11-18,"Dear future self, I hope you have continued to be generous and give back to your community. Your kindness will make a difference.",,2024-11-20 18:17:16.662108,0,160,1160,,50
354,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have remained optimistic and positive, even when faced with challenges. Keep your head up and keep going.",,2024-11-20 18:17:16.666398,0,161,1161,,70
355,user1162,wealth of experiences,"By now, you should have a wealth of experiences and stories to tell. Share your journey with others and inspire them.",,2024-11-20 18:17:16.674122,0,162,1162,public_letters/photos/0-02-03-0a1a5ee08ff57d7534389df7f7653da7b716de6291bca0da728da953fc_NDsncQL.png,68
356,user1163,Letters from 2024-11-18,"Dear future me, I hope you have found true happiness and contentment in whatever you are doing. Stay positive and keep smiling.",,2024-11-20 18:17:16.679109,0,163,1163,,72
357,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have surrounded yourself with positive and inspiring people who lift you up. Stay connected with loved ones.",,2024-11-20 18:17:16.686045,0,164,1164,,54
358,user1165,Letters from 2024-11-18,"Future me, I hope you have continued to pursue your dreams and never settled for less than what you deserve. Keep reaching for the stars.",,2024-11-20 18:17:16.690632,0,165,1165,,20
359,user1166,Letters from 2024-11-18,"Dear future self, I hope you have stayed curious and always sought to learn more about the world around you. Keep exploring and discovering.",,2024-11-20 18:17:16.692649,0,166,1166,,38
360,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have continued to grow and evolve as a person. Keep pushing your boundaries and striving for self-improvement.",,2024-11-20 18:17:16.703419,0,167,1167,,69
361,user1168,Letters from 2024-11-18,"By now, you should have achieved some of your biggest dreams. Don't stop there, keep aiming higher and pursuing your goals.",,2024-11-20 18:17:16.707419,0,168,1168,,27
362,user1169,Letters from 2024-11-18,"Dear future me, I hope you have maintained your sense of humor and continue to find joy in the little things. Stay happy and keep laughing.",,2024-11-20 18:17:16.707419,0,169,1169,,35
363,anonymous,Letters from 2024-11-18,"Hey future self, I hope you have stayed true to yourself and have not let others' opinions sway you. Stay strong and confident.",,2024-11-20 18:17:16.719209,0,170,1170,,37
364,anonymous,Letters from 2024-11-18,"Future me, I hope you have found peace and tranquility in your life. Take time to relax and recharge. Self-care is important.",,2024-11-20 18:17:16.723925,0,171,1171,,55
365,anonymous,Letters from 2024-11-18,"Dear future self, I hope you have continued to be a good friend and have supported those around you. Your kindness makes a difference.",,2024-11-20 18:17:16.725942,0,172,1172,,7
366,anonymous,Letters from 2024-11-18,"Hey future me, I hope you have achieved the work-life balance you always wanted. Take care of yourself and enjoy your life.",,2024-11-20 18:17:16.735504,0,173,1173,,55
367,anonymous,Letters from 2024-11-18,"By now, you should have learned to let go of what doesn't serve you and embraced what truly makes you happy. Stay positive and keep growing.",,2024-11-20 18:17:16.740242,0,174,1174,,48
